X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
85.080000	-0.194381	-0.841043	0.267386	0.000447	0.002330	-0.000517
85.090000	-0.186082	-0.790795	0.275502	0.000214	0.000853	-0.000340
85.100000	-0.208516	-0.671238	0.241669	0.000512	-0.001034	-0.000620
85.110000	-0.226390	-0.548763	0.240210	0.000296	-0.002306	-0.000684
85.120000	-0.208881	-0.395646	0.264376	0.000476	-0.003734	-0.000249
85.130000	-0.242532	-0.268612	0.253798	0.000481	-0.005049	7.537758E-5
85.140000	-0.237516	-0.103457	0.247232	0.000474	-0.006460	0.000297
85.150000	-0.177692	-0.030684	0.294197	0.000527	-0.008083	0.000540
85.160000	-0.232500	0.058688	0.311798	0.000197	-0.008788	0.000821
85.170000	-0.189182	0.181254	0.313804	0.000442	-0.009585	0.001485
85.180000	-0.222833	0.277191	0.293376	0.000210	-0.010041	0.001538
85.190000	-0.195293	0.409789	0.282251	0.000293	-0.010528	0.000999
85.200000	-0.224384	0.523874	0.325751	0.000403	-0.010810	0.001394
85.210000	-0.228579	0.627107	0.286172	0.000338	-0.010633	0.000928
85.220000	-0.186447	0.710733	0.252795	0.000671	-0.010284	0.000294
85.230000	-0.206145	0.752865	0.255987	0.000450	-0.009618	0.000628
85.240000	-0.220736	0.832843	0.283527	0.000633	-0.009188	-0.000245
85.250000	-0.203682	0.911636	0.258996	0.000518	-0.008611	-0.000361
85.260000	-0.234142	0.916013	0.247688	0.000369	-0.007998	-0.000141
85.270000	-0.202223	0.981765	0.291644	0.000341	-0.007450	-0.000757
85.280000	-0.211525	0.989607	0.264832	5.618205E-5	-0.006675	-0.000133
85.290000	-0.197025	0.983315	0.274134	0.000334	-0.006260	-2.647097E-5
85.300000	-0.207604	1.024718	0.287449	0.000201	-0.005868	-0.000241
85.310000	-0.215811	0.998545	0.233917	0.000383	-0.005700	0.000166
85.320000	-0.199943	1.037394	0.279424	0.000624	-0.005635	0.000121
85.330000	-0.200582	1.011859	0.247597	0.000506	-0.005197	0.000413
85.340000	-0.207513	1.015872	0.281612	0.000754	-0.005435	0.000938
85.350000	-0.203226	1.006114	0.301402	0.000436	-0.005319	0.000787
85.360000	-0.238154	0.915010	0.226075	0.000450	-0.005492	0.001148
85.370000	-0.209793	0.941456	0.320097	0.000253	-0.005694	0.001435
85.380000	-0.197025	0.879991	0.280244	0.000113	-0.005358	0.001060
85.390000	-0.203226	0.787428	0.259999	0.000305	-0.005135	0.001333
85.400000	-0.204868	0.761437	0.286172	0.000158	-0.004642	0.001079
85.410000	-0.228123	0.630207	0.239663	0.000566	-0.004461	9.891659E-5
85.420000	-0.176689	0.556887	0.266930	0.000462	-0.003779	0.000413
85.430000	-0.210613	0.447452	0.275046	0.000656	-0.003053	-0.000425
85.440000	-0.201403	0.334006	0.273040	0.000667	-0.001798	-0.000883
85.450000	-0.220280	0.211804	0.311798	0.000398	-0.000493	2.006835E-5
85.460000	-0.242805	0.072276	0.244587	0.000548	0.000457	-0.000607
