X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
2.240000	-0.042671	0.034362	-0.017214	0.001139	0.000297	0.000154
2.250000	-0.006102	0.025699	0.001299	0.000619	0.000215	0.000409
2.260000	0.029738	0.042114	0.020267	0.000378	0.000505	0.001410
2.270000	-0.017866	-0.007587	-0.003626	-0.000275	0.000651	-0.000925
2.280000	-0.000721	0.021777	0.023550	-0.000333	0.000509	0.000677
2.290000	0.012228	0.010469	0.018717	-0.000369	0.000539	-0.000543
2.300000	-0.006740	0.024331	-0.021318	7.769242E-5	0.000135	0.000454
2.310000	0.010587	0.012384	0.012607	0.000550	0.000166	0.000768
2.320000	-0.003548	-0.002389	-0.027610	0.000747	0.000172	0.000246
2.330000	-0.019690	0.031353	-0.020771	0.001112	0.000103	0.001124
2.340000	-0.017866	0.004815	-0.008003	0.000785	0.000478	6.678471E-6
2.350000	-0.006467	0.011928	-0.001346	0.000565	0.000456	0.000401
2.360000	-0.004643	0.036551	0.009141	0.000254	0.000486	0.000381
2.370000	-0.015769	0.009284	0.009415	-6.772004E-5	0.000157	-9.439124E-5
2.380000	-0.009202	0.024331	0.004764	5.293056E-5	0.000110	0.000705
2.390000	0.009128	0.020865	-0.015755	-1.625071E-5	0.000251	-0.000127
2.400000	0.005753	0.000985	-0.017670	0.000432	1.479865E-5	0.000689
2.410000	0.007942	0.014847	0.017440	0.000560	0.000356	0.000202
2.420000	-0.019690	-0.001569	-0.000252	0.000843	0.000256	0.000485
2.430000	-0.013124	0.017126	0.013884	0.001001	0.000323	0.000999
2.440000	-0.013033	0.012840	-0.020223	0.000655	0.000307	0.000141
2.450000	-0.001633	-0.033669	0.004764	0.000654	3.771116E-6	0.001077
2.460000	0.013596	-0.046437	0.006953	0.000102	0.000190	-9.536098E-5
2.470000	0.001741	-0.039415	0.016072	-2.949383E-5	6.995822E-5	0.000619
2.480000	0.000373	-0.039779	-0.013657	-0.000147	0.000349	-0.000111
2.490000	-0.030086	-0.039141	-0.022686	-9.537348E-5	0.000390	0.000327
2.500000	-0.013853	-0.049537	-0.007730	0.000361	0.000366	0.000534
2.510000	0.016241	-0.023638	-0.002258	0.000388	0.000465	2.121447E-6
2.520000	-0.033369	-0.044248	-0.009736	0.000907	0.000219	0.000982
2.530000	0.007486	-0.042971	-0.008368	0.000965	0.000264	0.000326
2.540000	-0.021423	-0.020172	0.014978	0.000987	-7.018541E-5	0.000792
2.550000	-0.000357	-0.045525	-0.014661	0.000919	-9.703838E-5	0.000558
2.560000	0.011408	-0.031937	-0.007183	0.000338	0.000118	6.600742E-5
2.570000	-0.043218	-0.032940	-0.003170	0.000233	4.572307E-5	0.000915
2.580000	0.004750	-0.039871	0.018899	-0.000199	0.000471	-0.000552
2.590000	-0.007835	-0.052455	-0.007183	-0.000162	0.000529	0.000510
2.600000	0.005662	-0.040874	0.006132	3.771178E-5	0.000635	0.000198
2.610000	0.012776	0.009284	0.029296	0.000243	0.000333	-8.111275E-6
2.620000	-0.003913	-0.056012	-0.000525	0.000888	-2.312433E-5	0.001102
2.630000	-0.020055	-0.038594	-0.008824	0.000892	-0.000173	-0.000157
2.640000	-0.036652	-0.050814	-0.012472	0.001155	-0.000139	0.001423
2.650000	0.000191	-0.055282	-0.021135	0.000783	0.000127	-0.000123
2.660000	0.027093	0.008463	0.012607	0.000403	9.690304E-5	0.000808
2.670000	-0.003001	-0.045981	-0.021591	0.000235	0.000460	0.000282
2.680000	-0.005281	0.002353	-0.015481	-0.000198	0.000637	-0.000379
2.690000	0.000920	-0.024094	-0.000161	0.000154	0.000593	0.000957
2.700000	-0.012668	-0.028198	-0.024236	0.000104	0.000248	-0.000321
2.710000	-0.007014	-0.019716	0.014522	0.000476	0.000108	0.001165
2.720000	-0.001360	-0.067411	-0.027793	0.000828	0.000251	-9.904732E-5
2.730000	-0.016954	-0.015430	0.025830	0.000827	-0.000110	0.000485
2.740000	-0.001360	0.006730	-0.002714	0.001050	2.677732E-5	0.000896
2.750000	-0.001633	-0.024823	0.011877	0.000595	0.000198	0.000168
2.760000	-0.008291	-0.021449	-0.017852	0.000484	0.000167	0.000859
2.770000	-0.009202	-0.046528	-0.004447	7.570141E-5	0.000643	-0.000159
2.780000	0.019159	-0.033213	-0.004811	-5.623531E-5	0.000559	0.000309
2.790000	-0.027806	-0.045889	-0.008277	0.000150	0.000453	0.000150
2.800000	-0.019690	0.015211	0.000387	0.000141	0.000160	0.000197
2.810000	0.029738	0.050413	0.028931	0.000656	-0.000159	0.000967
2.820000	-0.021879	0.010196	-0.038554	0.000772	4.103223E-5	0.000117
2.830000	8.207560E-6	0.021777	-0.005815	0.000956	-0.000186	0.000531
2.840000	0.012320	0.006730	-0.025969	0.000948	5.161487E-6	0.000767
2.850000	-0.023155	0.018221	-0.054878	0.000640	0.000221	0.000319
2.860000	-0.003822	0.038193	-0.004447	0.000540	0.000385	0.000885
2.870000	-0.025800	0.016032	-0.031988	-4.127263E-5	0.000553	-0.000402
2.880000	-0.019143	0.028252	-0.015481	-5.576406E-5	0.000356	0.000841
2.890000	-0.018778	0.011472	-0.006635	-0.000178	0.000651	-0.000304
2.900000	0.016788	0.029620	0.003670	-6.619617E-5	0.000328	0.000169
2.910000	0.009675	0.024604	0.018352	0.000469	9.919213E-5	0.001004
2.920000	0.009219	-0.001569	-0.023324	0.000678	4.175946E-5	-9.522193E-5
2.930000	0.011408	0.012384	0.003852	0.001180	0.000154	0.001557
2.940000	-0.012668	0.008828	-0.005906	0.000991	0.000271	-2.204049E-5
2.950000	-0.011665	0.024787	-0.028887	0.000897	0.000109	0.000815
2.960000	0.007486	0.037737	0.007500	0.000584	0.000498	0.000521
