X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
45.360000	0.396453	-7.640524	-0.295530	0.000213	0.041767	0.005607
45.370000	0.408582	-7.507471	-0.325806	-0.002029	0.039868	-0.005657
45.380000	0.455274	-7.241546	-0.316049	-0.001074	0.028152	0.018790
45.390000	0.435211	-6.953552	-0.334379	-0.005696	0.022499	0.047386
45.400000	0.474881	-6.600444	-0.378152	-0.000995	0.023604	0.002006
45.410000	0.453542	-6.163984	-0.435423	-0.001657	0.022537	-0.012108
45.420000	0.471598	-5.669980	-0.464970	-0.000724	0.025933	-0.014129
45.430000	0.470960	-5.185187	-0.515492	-0.003471	0.019347	-0.018826
45.440000	0.423630	-4.713617	-0.539112	-0.001323	0.008591	0.002448
45.450000	0.457645	-4.134984	-0.617722	0.000553	0.006678	0.005732
45.460000	0.443510	-3.496163	-0.658304	0.002897	0.005788	-0.030837
45.470000	0.414784	-2.822413	-0.604681	-0.005461	0.007642	-0.024040
45.480000	0.364535	-2.071604	-0.487222	-0.016718	0.005097	-0.023857
45.490000	0.329699	-1.407977	-0.438432	0.001112	-0.008145	-0.015193
45.500000	0.317843	-0.640661	-0.337844	0.011326	-0.018097	0.027208
45.510000	0.241422	0.084431	-0.333923	-0.008930	-0.019622	0.001682
45.520000	0.165912	0.812807	-0.283036	-0.009083	-0.020634	-0.018152
45.530000	0.135909	1.526955	-0.156731	-0.005514	-0.022236	0.004113
45.540000	0.049912	2.266913	-0.072740	-0.002988	-0.030601	0.000632
45.550000	0.034226	3.010882	0.071440	0.008427	-0.044452	0.022830
45.560000	-0.041739	3.666940	0.058125	0.007975	-0.056010	0.032323
45.570000	-0.081591	4.298375	0.074814	0.002881	-0.057590	-0.014893
45.580000	-0.142236	4.939112	0.208050	-0.014566	-0.056611	-0.010451
45.590000	-0.213824	5.551943	0.276629	-0.020394	-0.055887	0.010706
45.600000	-0.288878	6.097928	0.358613	0.000735	-0.066862	0.007358
45.610000	-0.353353	6.571687	0.375940	0.034670	-0.078215	0.014288
45.620000	-0.461601	6.971486	0.416248	0.001612	-0.079839	-0.012332
45.630000	-0.547598	7.292493	0.539453	-0.031383	-0.071676	-0.048609
45.640000	-0.679102	7.608393	0.645513	0.010431	-0.063291	-0.010427
45.650000	-0.701353	7.847871	0.710170	0.026298	-0.064957	0.019115
45.660000	-0.783520	7.936057	0.783217	-0.007796	-0.071826	-0.003030
45.670000	-0.852099	7.970346	0.888912	-0.028472	-0.073977	0.000609
45.680000	-0.942200	8.029258	1.037561	0.022843	-0.062515	-0.003865
45.690000	-1.043609	7.923472	1.196149	0.054734	-0.048639	-0.018836
